Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
14 7 -6.989658 0.0 -58.9652 13.8518 -156.301 387.643 -2573.84 390.329 -2670.75 0.0 390.329 -2670.75 -13.5919 -58.9652 -2352.978 5.48416 5.48416
15 0 -6.526971 0.0 -50.1087 13.6993 -152.369 387.643 -2573.84 387.959 -2669.52 0.0 387.959 -2669.52 -21.2559 -50.1087 -2352.9255 2.68557 2.68557
15 1 -6.6016355 0.0 -50.4574 13.8857 -158.336 387.643 -2573.84 387.959 -2675.88 0.0 387.959 -2675.88 -14.3569 -50.4574 -2352.735 3.18428 3.18428
15 2 -6.6016355 0.0 -50.4574 13.8857 -158.336 387.643 -2573.84 387.959 -2675.88 0.0 387.959 -2675.88 -14.3569 -50.4574 -2352.735 3.18428 3.18428
15 3 -6.3787856 0.0 -46.432 13.4969 -148.853 387.643 -2573.84 388.005 -2669.65 0.0 388.005 -2669.65 -20.231 -46.432 -2348.308 10.7846 10.7846
15 4 -6.3787856 0.0 -46.432 13.4969 -148.853 387.643 -2573.84 388.005 -2669.65 0.0 388.005 -2669.65 -20.231 -46.432 -2348.308 10.7846 10.7846
15 5 -6.3787856 0.0 -46.432 13.4969 -148.853 387.643 -2573.84 388.005 -2669.65 0.0 388.005 -2669.65 -20.231 -46.432 -2348.308 10.7846 10.7846
15 6 -6.3787856 0.0 -46.432 13.4969 -148.853 387.643 -2573.84 388.005 -2669.65 0.0 388.005 -2669.65 -20.231 -46.432 -2348.308 10.7846 10.7846
15 7 -6.3787856 0.0 -46.432 13.4969 -148.853 387.643 -2573.84 388.005 -2669.65 0.0 388.005 -2669.65 -20.231 -46.432 -2348.308 10.7846 10.7846
16 0 -9.344808 0.0 -123.805 13.3922 -160.278 387.643 -2573.84 385.662 -2606.48 0.0 385.662 -2606.48 -8.29004 -123.805 -2352.913 -14.5992 -14.5992
16 1 -9.344808 0.0 -123.805 13.3922 -160.278 387.643 -2573.84 385.662 -2606.48 0.0 385.662 -2606.48 -8.29004 -123.805 -2352.913 -14.5992 -14.5992
16 2 -9.344808 0.0 -123.805 13.3922 -160.278 387.643 -2573.84 385.662 -2606.48 0.0 385.662 -2606.48 -8.29004 -123.805 -2352.913 -14.5992 -14.5992
16 3 -10.254499 0.0 -128.621 13.5342 -159.792 387.643 -2573.84 385.368 -2612.74 0.0 385.368 -2612.74 4.32525 -128.621 -2351.6677 -1.53463 -1.53463
16 4 -10.254499 0.0 -128.621 13.5342 -159.792 387.643 -2573.84 385.368 -2612.74 0.0 385.368 -2612.74 4.32525 -128.621 -2351.6677 -1.53463 -1.53463
16 5 -9.438319 0.0 -132.68 13.4126 -162.127 387.643 -2573.84 385.554 -2595.94 0.0 385.554 -2595.94 -5.73795 -132.68 -2348.804 -16.9329 -16.9329
16 6 -9.414896 0.0 -131.313 13.3492 -160.656 387.643 -2573.84 385.407 -2596.07 0.0 385.407 -2596.07 -4.98243 -131.313 -2346.9585 -15.3137 -15.3137
16 7 -9.414896 0.0 -131.313 13.3492 -160.656 387.643 -2573.84 385.407 -2596.07 0.0 385.407 -2596.07 -4.98243 -131.313 -2346.9585 -15.3137 -15.3137
16 8 -9.414896 0.0 -131.313 13.3492 -160.656 387.643 -2573.84 385.407 -2596.07 0.0 385.407 -2596.07 -4.98243 -131.313 -2346.9585 -15.3137 -15.3137
16 9 -9.414896 0.0 -131.313 13.3492 -160.656 387.643 -2573.84 385.407 -2596.07 0.0 385.407 -2596.07 -4.98243 -131.313 -2346.9585 -15.3137 -15.3137
16 10 -8.535046 0.0 -98.1954 13.7897 -164.398 387.643 -2573.84 385.636 -2636.3 0.0 385.636 -2636.3 3.32112 -98.1954 -2345.5383 3.18246 3.18246
16 11 -8.535046 0.0 -98.1954 13.7897 -164.398 387.643 -2573.84 385.636 -2636.3 0.0 385.636 -2636.3 3.32112 -98.1954 -2345.5383 3.18246 3.18246
